Pressure(bar),Uptake(mmol/g)
0.004329,0.009326
0.190476,0.046632
0.220779,0.055959
0.246753,0.055959
0.272727,0.065285
0.298701,0.074611
0.320346,0.083938
0.350649,0.083938
0.372294,0.093264
0.398268,0.102591
0.428571,0.111917
0.454545,0.111917
0.480519,0.121244
0.506494,0.130570
0.554113,0.139896
0.575758,0.149223
0.601732,0.149223
0.627706,0.158549
0.658009,0.167876
0.688312,0.177202
0.714286,0.177202
0.735931,0.186528
0.761905,0.186528
0.792208,0.195855
0.818182,0.205181
0.839827,0.214508
0.870130,0.214508
0.896104,0.223834
0.922078,0.233161
0.952381,0.233161
0.978355,0.242487
1.000000,0.251813
1.025974,0.251813
