Pressure(bar),Uptake(mmol/g)
0.004329,0.000000
0.025974,0.018653
0.051948,0.037306
0.073593,0.055959
0.090909,0.074611
0.108225,0.093264
0.134199,0.121244
0.160173,0.149223
0.186147,0.177202
0.212121,0.195855
0.238095,0.223834
0.264069,0.251813
0.294372,0.270466
0.316017,0.307772
0.341991,0.317098
0.367965,0.345078
0.398268,0.363731
0.419913,0.391710
0.445887,0.410363
0.471861,0.429016
0.502165,0.456995
0.528139,0.475648
0.549784,0.494301
0.580087,0.512953
0.606061,0.531606
0.632035,0.550259
0.658009,0.578238
0.683983,0.606218
0.709957,0.624870
0.735931,0.643523
0.766234,0.652850
0.787879,0.690155
0.818182,0.699482
0.844156,0.708808
0.870130,0.727461
0.896104,0.755440
0.922078,0.774093
0.952381,0.783420
0.978355,0.811399
1.000000,0.839378
1.030303,0.848705
