Pressure(bar),Uptake(mmol/g)
0.102040,0.279070
0.190854,0.558140
0.291684,0.775194
0.394904,1.023256
0.493154,1.240310
0.591466,1.395349
0.695193,1.581395
0.800772,1.767442
0.903942,1.891473
1.020403,2.077519
2.027765,3.007752
