Pressure(bar),Uptake(mmol/g)
0.000000,0.000000
0.039102,0.057143
0.078460,0.104762
0.130929,0.171429
0.157152,0.209524
0.183375,0.247619
0.209621,0.276190
0.235844,0.314286
0.262090,0.342857
0.288313,0.380952
0.314560,0.409524
0.340783,0.447619
0.367029,0.476190
0.393275,0.504762
0.419498,0.542857
0.445744,0.571429
0.471990,0.600000
0.498236,0.628571
0.524483,0.657143
0.550729,0.685714
0.576975,0.714286
0.603221,0.742857
0.629467,0.771429
0.655713,0.800000
0.686369,0.819048
0.708229,0.847619
0.734475,0.876190
0.760721,0.904762
0.786991,0.923810
0.813237,0.952381
0.839483,0.980952
0.865729,1.009524
0.891999,1.028571
0.918268,1.047619
0.944514,1.076190
0.970783,1.095238
0.997053,1.114286
1.023299,1.142857
